neighborhood_name,url
אבו טור,/hood/אבו-טור/jerusalem
אבו תור,/hood/אבו-תור/jerusalem
בית הכרם,/hood/בית-הכרם/jerusalem
בית וגן,/hood/בית-וגן/jerusalem
בית ישראל,/hood/בית-ישראל/jerusalem
בקעה,/hood/בקעה/jerusalem
גאולה,/hood/גאולה/jerusalem
גבעת מרדכי,/hood/גבעת-מרדכי/jerusalem
גבעת משואה,/hood/גבעת-משואה/jerusalem
גבעת שאול,/hood/גבעת-שאול/jerusalem
גילה,/hood/גילה/jerusalem
הבוכרים,/hood/הבוכרים/jerusalem
הגבעה הצרפתית,/hood/הגבעה-הצרפתית/jerusalem
הר נוף,/hood/הר-נוף/jerusalem
הרובע היהודי,/hood/הרובע-היהודי/jerusalem
זכרון משה,/hood/זכרון-משה/jerusalem
חומת שמואל;הר חומה,/hood/חומת-שמואלהר-חומה/jerusalem
טלביה,/hood/טלביה/jerusalem
ימין משה,/hood/ימין-משה/jerusalem
כרם אברהם,/hood/כרם-אברהם/jerusalem
מאה שערים,/hood/מאה-שערים/jerusalem
מורשה,/hood/מורשה/jerusalem
מחנה יהודה,/hood/מחנה-יהודה/jerusalem
ממילא,/hood/ממילא/jerusalem
מנחת,/hood/מנחת/jerusalem
מעלות דפנה,/hood/מעלות-דפנה/jerusalem
מקור ברוך,/hood/מקור-ברוך/jerusalem
מקור חיים,/hood/מקור-חיים/jerusalem
מרכז העיר,/hood/מרכז-העיר/jerusalem
נוה יעקב,/hood/נוה-יעקב/jerusalem
נוה שאנן,/hood/נוה-שאנן/jerusalem
נחלת אחים,/hood/נחלת-אחים/jerusalem
סנהדריה,/hood/סנהדריה/jerusalem
עין כרם,/hood/עין-כרם/jerusalem
עיר גנים,/hood/עיר-גנים/jerusalem
עמק רפאים,/hood/עמק-רפאים/jerusalem
פסגת זאב דרום,/hood/פסגת-זאב-דרום/jerusalem
פסגת זאב מזרח,/hood/פסגת-זאב-מזרח/jerusalem
פסגת זאב מערב,/hood/פסגת-זאב-מערב/jerusalem
פסגת זאב מרכז,/hood/פסגת-זאב-מרכז/jerusalem
פסגת זאב צפון,/hood/פסגת-זאב-צפון/jerusalem
פת,/hood/פת/jerusalem
קטמון א-ו,/hood/קטמון-א-ו/jerusalem
קטמון הישנה,/hood/קטמון-הישנה/jerusalem
קטמון ח-ט,/hood/קטמון-ח-ט/jerusalem
קרית האומה,/hood/קרית-האומה/jerusalem
קרית היובל,/hood/קרית-היובל/jerusalem
קרית מנחם,/hood/קרית-מנחם/jerusalem
קרית משה,/hood/קרית-משה/jerusalem
רוממה ק. צאנז,/hood/רוממה-ק-צאנז/jerusalem
רחביה,/hood/רחביה/jerusalem
רמות,/hood/רמות/jerusalem
רמות אשכול,/hood/רמות-אשכול/jerusalem
רמת רחל,/hood//jerusalem
רמת שלמה,/hood/רמת-שלמה/jerusalem
רמת שרת,/hood/רמת-שרת/jerusalem
רסקו(גבעת הורדים),/hood/רסקוגבעת-הורדים/jerusalem
שמואל הנביא,/hood/שמואל-הנביא/jerusalem
תלפיות מזרח,/hood/תלפיות-מזרח/jerusalem
"תלפיות, ארנונה",/hood/תלפיות-ארנונה/jerusalem
